NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
CRESOXIM-METÍLICO;Quimico;0.010;C56;CRESOXIM-METÍLICO;143390890;SIM;Cará;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.380, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flubendiamida;Quimico;0.100;F66;Flubendiamida;272451657;SIM;Sorgo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.374, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.700;C59;BETA-CIPERMETRINA;65731842;SIM;Kiwi;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.700;C59;BETA-CIPERMETRINA;65731842;SIM;Manga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
Proexadiona cálcica;Quimico;0.010;P54;Proexadiona cálcica;127277536;SIM;Goiaba;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 1.367, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;2.000;F69;Flupiradifurone;951659408;SIM;Azeitona;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;2.000;F69;Flupiradifurone;951659408;SIM;Caju;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
ZETA-CIPERMETRINA;Quimico;0.050;C60;ZETA-CIPERMETRINA;1315501188;SIM;Mandioca;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
ACETAMIPRIDO;Quimico;0.150;A29;ACETAMIPRIDO;135410207;SIM;Grão de Bico;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.388, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.070;C59;BETA-CIPERMETRINA;65731842;SIM;Acelga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
INDOXACARBE;Quimico;0.080;I21;INDOXACARBE;173584446;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.376, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;0.500;F69;Flupiradifurone;951659408;SIM;Manga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;0.500;F69;Flupiradifurone;951659408;SIM;Maracujá;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BIFENTRINA;Quimico;0.150;B26;BIFENTRINA;82657043;SIM;Almeirão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.387, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BIFENTRINA;Quimico;0.010;B26;BIFENTRINA;82657043;SIM;Brócolis;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.387, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BIFENTRINA;Quimico;0.150;B26;BIFENTRINA;82657043;SIM;Chicória;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.387, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BIFENTRINA;Quimico;0.500;B26;BIFENTRINA;82657043;SIM;Feijão-fava;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.387, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BIFENTRINA;Quimico;0.500;B26;BIFENTRINA;82657043;SIM;Grão de Bico;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.387, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
BIFENTRINA;Quimico;0.300;B26;BIFENTRINA;82657043;SIM;Jiló;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.387, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
ETEFOM;Quimico;2.000;E05;ETEFOM;16672870;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.386, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Metaflumizone;Quimico;2.000;M48;Metaflumizone;139968493;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.330, DE 9 DE DEZEMBRO DE 2016;12/12/2016 00:00:00.000000;04/06/2017 00:00:00.000000
MCPA;Quimico;0.050;M04;MCPA;94746;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 1.506, DE 13 DE MAIO DE 2020;18/05/2020 00:00:00.000000;
TIAMETOXAM;Quimico;0.060;T48;TIAMETOXAM;153719234;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 1.819, DE 4 DE JUNHO DE 2020;08/06/2020 00:00:00.000000;
TIACLOPRIDO;Quimico;0.050;T49;TIACLOPRIDO;111988499;SIM;Banana;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
ALFA-CIPERMETRINA;Quimico;0.020;C58;ALFA-CIPERMETRINA;67375308;SIM;Couve chinesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
CRESOXIM-METÍLICO;Quimico;0.010;C56;CRESOXIM-METÍLICO;143390890;SIM;Mandioca;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.380, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
CRESOXIM-METÍLICO;Quimico;0.300;C56;CRESOXIM-METÍLICO;143390890;SIM;Manga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.380, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
CRESOXIM-METÍLICO;Quimico;0.010;C56;CRESOXIM-METÍLICO;143390890;SIM;Nabo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.380, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
DIMETOMORFE;Quimico;2.000;D39;DIMETOMORFE;110488705;SIM;Chicória;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 1.365, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
DIMETOMORFE;Quimico;0.700;D39;DIMETOMORFE;110488705;SIM;Cupuaçu;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 1.365, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
DIMETOMORFE;Quimico;2.000;D39;DIMETOMORFE;110488705;SIM;Mostarda;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 1.365, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;0.600;F69;Flupiradifurone;951659408;SIM;Lentilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
CLORANTRANILIPROLE;Quimico;0.300;C70;CLORANTRANILIPROLE;500008457;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.447, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
DIAFENTIUROM;Quimico;0.300;D41;DIAFENTIUROM;80060099;SIM;Amendoim;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.451, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
DIAFENTIUROM;Quimico;0.300;D41;DIAFENTIUROM;80060099;SIM;Ervilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.451, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
Mesotriona;Quimico;0.010;M40;Mesotriona;104206828;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.453, DE 03 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
Novalurom;Quimico;0.200;N09;Novalurom;116714466;SIM;Girassol;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.456, DE 03 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.020;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Cupuaçu;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;18/09/2019 00:00:00.000000
AZOXISTROBINA;Quimico;0.100;A26;AZOXISTROBINA;131860338;SIM;Grão de Bico;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE Nº 1.364, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;1.000;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Framboesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;1.000;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Seriguela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
METOMIL;Quimico;0.010;M17;METOMIL;16752775;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.433, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
Flupiradifurone;Quimico;0.150;F69;Flupiradifurone;951659408;SIM;Cenoura;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;0.100;F69;Flupiradifurone;951659408;SIM;Chicória;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;0.600;F69;Flupiradifurone;951659408;SIM;Chuchu;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;5.000;F69;Flupiradifurone;951659408;SIM;Couve chinesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
PACLOBUTRAZOL;Quimico;0.020;P45;PACLOBUTRAZOL;76738620;SIM;Abacate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE N° 1.821, DE 4 DE JUNHO DE 2020;08/06/2020 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.600;T33;TEFLUBENZUROM;83121180;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.460, DE 03 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
DINOTEFURAN;Quimico;0.090;D55;DINOTEFURAN;165252700;SIM;Feijões;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.450, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
DINOTEFURAN;Quimico;0.090;D55;DINOTEFURAN;165252700;SIM;Grão de Bico;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.450, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
DINOTEFURAN;Quimico;0.090;D55;DINOTEFURAN;165252700;SIM;Lentilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.450, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
Flupiradifurone;Quimico;1.500;F69;Flupiradifurone;951659408;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.455 DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
TRIFLURALINA;Quimico;0.050;T24;TRIFLURALINA;1582098;SIM;Couve-Flor;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIFORINA;Quimico;0.100;T25;TRIFORINA;26644462;NÃO;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
ZETA-CIPERMETRINA;Quimico;0.050;C60;ZETA-CIPERMETRINA;1315501188;SIM;Milheto;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.121, DE 26 DE ABRIL DE 2007;30/04/2007 00:00:00.000000;
ZOXAMIDA;Quimico;0.100;Z04;ZOXAMIDA;156052685;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 363, DE 12 DE FEVEREIRO DE 2016;15/02/2016 00:00:00.000000;
FURATIOCARBE;Quimico;0.030;F41;FURATIOCARBE;65907304;NÃO;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;09/09/2018 00:00:00.000000
DINOTEFURAN;Quimico;0.090;D55;DINOTEFURAN;165252700;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.117, DE 1º DE AGOSTO DE 2019;05/08/2019 00:00:00.000000;
DINOTEFURAN;Quimico;0.600;D55;DINOTEFURAN;165252700;SIM;Triticale;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.117, DE 1º DE AGOSTO DE 2019;05/08/2019 00:00:00.000000;
FENTIONA;Quimico;1.000;F07;FENTIONA;55389;NÃO;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
FENTIONA;Quimico;0.050;F07;FENTIONA;55389;NÃO;Marmelo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
FLUOPIRAM;Quimico;0.020;F72;FLUOPIRAM;658066354;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.118, DE 1º DE AGOSTO DE 2019;05/08/2019 00:00:00.000000;
ABAMECTINA;Quimico;0.020;A18;ABAMECTINA;71751412;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.435, DE 13 DE MAIO DE 2015;15/05/2015 00:00:00.000000;
ABAMECTINA;Quimico;0.010;A18;ABAMECTINA;71751412;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.102, DE 03 DE AGOSTO DE 2016;08/08/2016 00:00:00.000000;
ABAMECTINA;Quimico;0.005;A18;ABAMECTINA;71751412;SIM;Citros;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Octanoato de ioxinila;Quimico;0.020;O17;Octanoato de ioxinila;3861470;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE NO - 205, DE 24 DE JANEIRO DE 2005;25/01/2005 00:00:00.000000;
PROPAMOCARBE;Quimico;2.000;P23;PROPAMOCARBE;24579735;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 345, DE 04 DE FEVEREIRO DE 2015;05/02/2015 00:00:00.000000;
PROPAMOCARBE;Quimico;40.000;P23;PROPAMOCARBE;24579735;SIM;Chicória;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 345, DE 04 DE FEVEREIRO DE 2015;05/02/2015 00:00:00.000000;
PROPAMOCARBE;Quimico;1.000;P23;PROPAMOCARBE;24579735;SIM;Melancia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 345, DE 04 DE FEVEREIRO DE 2015;05/02/2015 00:00:00.000000;
PROPANIL;Quimico;2.000;P16;PROPANIL;709988;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Propaquizafope;Quimico;0.050;P31;Propaquizafope;111479051;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PROPICONAZOL;Quimico;0.100;P21;PROPICONAZOL;60207901;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PROTIOFÓS;Quimico;0.010;P38;PROTIOFÓS;34643464;NÃO;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
PROTIOFÓS;Quimico;1.000;P38;PROTIOFÓS;34643464;NÃO;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
QUINOMETIONATO;Quimico;0.300;Q01;QUINOMETIONATO;2439012;NÃO;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
QUINTOZENO;Quimico;0.200;Q02;QUINTOZENO;82688;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
QUINTOZENO;Quimico;0.100;Q02;QUINTOZENO;82688;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
QUIZALOFOPE-P-ETÍLICO;Quimico;0.050;Q05.1;QUIZALOFOPE-P-ETÍLICO;100646513;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
QUIZALOFOPE-P-ETÍLICO;Quimico;0.030;Q05.1;QUIZALOFOPE-P-ETÍLICO;100646513;SIM;Lentilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 803, DE 28 DE MARÇO DE 2018;02/04/2018 00:00:00.000000;
Saflufenacil;Quimico;0.030;S16;Saflufenacil;372137354;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 666/ANVISA 2016;14/03/2016 00:00:00.000000;
Saflufenacil;Quimico;0.030;S16;Saflufenacil;372137354;SIM;Citros;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 666/ANVISA 2016;14/03/2016 00:00:00.000000;
Saflufenacil;Quimico;0.030;S16;Saflufenacil;372137354;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 3939/ANVISA 2014;09/10/2014 00:00:00.000000;
S-metolacloro;Quimico;0.200;S13;S-metolacloro;87392129;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.732, DE 30 DE JUNHO DE 2016;04/07/2016 00:00:00.000000;
SULFENTRAZONA;Quimico;0.500;S09;SULFENTRAZONA;122836355;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEBUCONAZOL;Quimico;0.100;T32;TEBUCONAZOL;107534963;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;13/03/2016 00:00:00.000000
TEBUCONAZOL;Quimico;0.500;T32;TEBUCONAZOL;107534963;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 667, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
PIRACLOSTROBINA;Quimico;1.000;P46;PIRACLOSTROBINA;175013180;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.217, DE 12 DE MAIO DE 2016;13/05/2016 00:00:00.000000;
PIRIDABEM;Quimico;0.100;P35;PIRIDABEM;96489713;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 159, DE 20 DE JANEIRO DE 2017;23/01/2017 00:00:00.000000;11/03/2018 00:00:00.000000
PIRIDAFENTIONA;Quimico;0.500;P32;PIRIDAFENTIONA;119120;NÃO;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
PIRIDAFENTIONA;Quimico;0.100;P32;PIRIDAFENTIONA;119120;NÃO;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
PIRIDAFENTIONA;Quimico;1.000;P32;PIRIDAFENTIONA;119120;NÃO;Citros;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
PIRIMETANIL;Quimico;0.500;P43;PIRIMETANIL;53112280;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PIRIMETANIL;Quimico;2.000;P43;PIRIMETANIL;53112280;SIM;Framboesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.389, DE 2 DE SETEMBRO DE 2016;05/09/2016 00:00:00.000000;
PIRIMETANIL;Quimico;2.000;P43;PIRIMETANIL;53112280;SIM;Mirtilo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.389, DE 2 DE SETEMBRO DE 2016;05/09/2016 00:00:00.000000;
