NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
PIRIPROXIFEM;Quimico;0.100;P34;PIRIPROXIFEM;95737681;SIM;Melancia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 575, DE 8 DE MARÇO DE 2005;09/03/2005 00:00:00.000000;
PIRIPROXIFEM;Quimico;0.200;P34;PIRIPROXIFEM;95737681;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.082, DE 20 DE ABRIL DE 2017;24/04/2017 00:00:00.000000;
PIRIPROXIFEM;Quimico;0.100;P34;PIRIPROXIFEM;95737681;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 181, DE 4 DE AGOSTO DE 2004;05/08/2004 00:00:00.000000;23/04/2017 00:00:00.000000
PROCIMIDONA;Quimico;0.500;P33;PROCIMIDONA;32809168;SIM;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 6, DE 9 DE JANEIRO DE 2004;12/01/2004 00:00:00.000000;
PROCIMIDONA;Quimico;0.200;P33;PROCIMIDONA;32809168;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PROCIMIDONA;Quimico;1.000;P33;PROCIMIDONA;32809168;SIM;Pêssego;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;11/01/2004 00:00:00.000000
Proexadiona cálcica;Quimico;0.010;P54;Proexadiona cálcica;127277536;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 2669/ANVISA 2017;09/10/2017 00:00:00.000000;
TEBUCONAZOL;Quimico;0.100;T32;TEBUCONAZOL;107534963;SIM;Centeio;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 1.744, DE 30 DE JUNHO DE 2016;04/07/2016 00:00:00.000000;
TEBUCONAZOL;Quimico;0.200;T32;TEBUCONAZOL;107534963;SIM;Jiló;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 667, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TEBUCONAZOL;Quimico;1.000;T32;TEBUCONAZOL;107534963;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.722, DE 25 DE OUTUBRO DE 2005;28/10/2005 00:00:00.000000;
TEBUCONAZOL;Quimico;0.300;T32;TEBUCONAZOL;107534963;SIM;Mandioca;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 667, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TEBUFENOZIDA;Quimico;0.010;T41;TEBUFENOZIDA;112410238;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 4.451, DE 23 DE SETEMBRO DE 2010;27/09/2010 00:00:00.000000;
TEBUFENOZIDA;Quimico;0.020;T41;TEBUFENOZIDA;112410238;SIM;Milheto;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 365, DE 12 DE FEVEREIRO DE 2016;15/02/2016 00:00:00.000000;
TEBUFENOZIDA;Quimico;0.500;T41;TEBUFENOZIDA;112410238;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Tebupirinfós;Quimico;0.050;T57;Tebupirinfós;96182535;SIM;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.010;T33;TEFLUBENZUROM;83121180;SIM;Abobrinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.972, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.300;T33;TEFLUBENZUROM;83121180;SIM;Agrião;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.972, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.100;T33;TEFLUBENZUROM;83121180;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.533, DE 23 DE DEZEMBRO DE 2015;24/12/2015 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.100;T33;TEFLUBENZUROM;83121180;SIM;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.500;T33;TEFLUBENZUROM;83121180;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TIAMETOXAM;Quimico;0.020;T48;TIAMETOXAM;153719234;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;17/07/2016 00:00:00.000000
TIAMETOXAM;Quimico;0.200;T48;TIAMETOXAM;153719234;SIM;Pimentão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 5.241, DE 12 DE DEZEMBRO DE 2012;13/12/2012 00:00:00.000000;
TIAMETOXAM;Quimico;1.000;T48;TIAMETOXAM;153719234;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 289, DE 1º DE FEVEREIRO DE 2018;05/02/2018 00:00:00.000000;
